"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2018","100","EC dollar","1993","2006","415150000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2018","100","EC dollar","1993","2006","250310000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","100","EC dollar","1993","2006","329840000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2018","100","EC dollar","1993","2006","161420000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2018","100","EC dollar","1993","2006","91210000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2018","100","EC dollar","1993","2006","77210000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2018","100","EC dollar","1993","2006","8310000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","100","EC dollar","1993","2006","3053020000",""
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2018","100","EC dollar","1993","2006","51820000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","100","EC dollar","1993","2006","44860000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","100","EC dollar","1993","2006","3497880000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","EC dollar","1993","2006","52520000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2017","100","EC dollar","1993","2006","22870000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2017","100","EC dollar","1993","2006","21950000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2017","100","EC dollar","1993","2006","920000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2017","100","EC dollar","1993","2006","29650000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2017","100","EC dollar","1993","2006","34090000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2017","100","EC dollar","1993","2006","63730000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2017","100","EC dollar","1993","2006","107600000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2017","100","EC dollar","1993","2006","349940000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2017","100","EC dollar","1993","2006","776830000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","EC dollar","1993","2006","379330000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2017","100","EC dollar","1993","2006","397500000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2017","100","EC dollar","1993","2006","299400000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","100","EC dollar","1993","2006","178440000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2017","100","EC dollar","1993","2006","120960000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2017","100","EC dollar","1993","2006","649900000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2017","100","EC dollar","1993","2006","246680000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2017","100","EC dollar","1993","2006","403220000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2017","100","EC dollar","1993","2006","235040000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","EC dollar","1993","2006","317230000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2017","100","EC dollar","1993","2006","160430000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2017","100","EC dollar","1993","2006","88960000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2017","100","EC dollar","1993","2006","67840000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2017","100","EC dollar","1993","2006","8320000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","100","EC dollar","1993","2006","2845720000","1"
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2017","100","EC dollar","1993","2006","48880000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","100","EC dollar","1993","2006","428720000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","100","EC dollar","1993","2006","3274440000",""
